fdc_id,measure_unit_id,amount,gram_weight
168121,9999,1.0,113.0
168121,9999,1.0,18.0
168121,9999,1.0,21.0
168122,9999,1.0,1.7
168123,9999,1.0,240.0
168123,9999,1.0,30.0
168124,9999,1.0,28.0
168124,9999,1.0,15.0
168124,9999,1.0,108.0
168124,9999,1.0,132.0
168125,9999,1.0,16.0
168126,9999,1.0,36.0
168126,9999,1.0,28.0
168127,9999,1.0,88.0
168127,9999,1.0,28.0
168127,9999,10.0,18.0
168128,9999,1.0,253.0
168129,9999,1.0,58.0
168130,9999,1.0,54.0
168131,9999,1.0,57.0
168131,9999,1.0,151.0
168132,9999,1.0,55.0
168133,9999,1.0,15.0
168133,9999,1.0,113.0
168133,9999,1.0,113.0
168133,9999,1.0,113.0
168133,9999,1.0,113.0
168134,9999,1.0,15.0
168134,9999,1.0,113.0
168134,9999,1.0,113.0
168135,9999,1.0,15.0
168135,9999,1.0,113.0
168135,9999,1.0,113.0
